hyperedge_id,node_id,node_role,incidence_weight,coo_index
he35h_0081,hn35h_0602,counter,0.41,2
he35h_0081,hn35h_0619,residual,0.48,3
he35h_0081,hn35h_0636,mask,0.55,4
he35h_0081,hn35h_0653,ledger,0.62,5
he35h_0081,hn35h_0670,context,0.69,6
he35h_0082,hn35h_0575,driver,0.34,0
he35h_0082,hn35h_0592,evidence,0.41,1
he35h_0082,hn35h_0609,counter,0.48,2
he35h_0082,hn35h_0626,residual,0.55,3
he35h_0082,hn35h_0643,mask,0.62,4
he35h_0082,hn35h_0660,ledger,0.69,5
he35h_0082,hn35h_0677,context,0.76,6
he35h_0083,hn35h_0582,driver,0.41,0
he35h_0083,hn35h_0599,evidence,0.48,1
he35h_0083,hn35h_0616,counter,0.55,2
he35h_0083,hn35h_0633,residual,0.62,3
he35h_0083,hn35h_0650,mask,0.69,4
he35h_0083,hn35h_0667,ledger,0.76,5
he35h_0083,hn35h_0684,context,0.83,6
he35h_0084,hn35h_0589,driver,0.48,0
he35h_0084,hn35h_0606,evidence,0.55,1
he35h_0084,hn35h_0623,counter,0.62,2
he35h_0084,hn35h_0640,residual,0.69,3
he35h_0084,hn35h_0657,mask,0.76,4
he35h_0084,hn35h_0674,ledger,0.83,5
he35h_0084,hn35h_0691,context,0.2,6
he35h_0085,hn35h_0596,driver,0.55,0
he35h_0085,hn35h_0613,evidence,0.62,1
he35h_0085,hn35h_0630,counter,0.69,2
he35h_0085,hn35h_0647,residual,0.76,3
he35h_0085,hn35h_0664,mask,0.83,4
he35h_0085,hn35h_0681,ledger,0.2,5
he35h_0085,hn35h_0698,context,0.27,6
he35h_0086,hn35h_0603,driver,0.62,0
he35h_0086,hn35h_0620,evidence,0.69,1
he35h_0086,hn35h_0637,counter,0.76,2
he35h_0086,hn35h_0654,residual,0.83,3
he35h_0086,hn35h_0671,mask,0.2,4
he35h_0086,hn35h_0688,ledger,0.27,5
he35h_0086,hn35h_0705,context,0.34,6
he35h_0087,hn35h_0610,driver,0.69,0
he35h_0087,hn35h_0627,evidence,0.76,1
he35h_0087,hn35h_0644,counter,0.83,2
he35h_0087,hn35h_0661,residual,0.2,3
he35h_0087,hn35h_0678,mask,0.27,4
he35h_0087,hn35h_0695,ledger,0.34,5
he35h_0087,hn35h_0712,context,0.41,6
he35h_0088,hn35h_0617,driver,0.76,0
he35h_0088,hn35h_0634,evidence,0.83,1
he35h_0088,hn35h_0651,counter,0.2,2
he35h_0088,hn35h_0668,residual,0.27,3
he35h_0088,hn35h_0685,mask,0.34,4
he35h_0088,hn35h_0702,ledger,0.41,5
he35h_0088,hn35h_0719,context,0.48,6
he35h_0089,hn35h_0624,driver,0.83,0
he35h_0089,hn35h_0641,evidence,0.2,1
he35h_0089,hn35h_0658,counter,0.27,2
he35h_0089,hn35h_0675,residual,0.34,3
he35h_0089,hn35h_0692,mask,0.41,4
he35h_0089,hn35h_0709,ledger,0.48,5
he35h_0089,hn35h_0726,context,0.55,6
he35h_0090,hn35h_0631,driver,0.2,0
he35h_0090,hn35h_0648,evidence,0.27,1
he35h_0090,hn35h_0665,counter,0.34,2
he35h_0090,hn35h_0682,residual,0.41,3
he35h_0090,hn35h_0699,mask,0.48,4
he35h_0090,hn35h_0716,ledger,0.55,5
he35h_0090,hn35h_0733,context,0.62,6
he35h_0091,hn35h_0638,driver,0.27,0
he35h_0091,hn35h_0655,evidence,0.34,1
he35h_0091,hn35h_0672,counter,0.41,2
he35h_0091,hn35h_0689,residual,0.48,3
he35h_0091,hn35h_0706,mask,0.55,4
he35h_0091,hn35h_0723,ledger,0.62,5
he35h_0091,hn35h_0740,context,0.69,6
he35h_0092,hn35h_0645,driver,0.34,0
he35h_0092,hn35h_0662,evidence,0.41,1
he35h_0092,hn35h_0679,counter,0.48,2
he35h_0092,hn35h_0696,residual,0.55,3
he35h_0092,hn35h_0713,mask,0.62,4
he35h_0092,hn35h_0730,ledger,0.69,5
he35h_0092,hn35h_0747,context,0.76,6
he35h_0093,hn35h_0652,driver,0.41,0
he35h_0093,hn35h_0669,evidence,0.48,1
he35h_0093,hn35h_0686,counter,0.55,2
he35h_0093,hn35h_0703,residual,0.62,3
he35h_0093,hn35h_0720,mask,0.69,4
he35h_0093,hn35h_0737,ledger,0.76,5
he35h_0093,hn35h_0007,context,0.83,6
he35h_0094,hn35h_0659,driver,0.48,0
he35h_0094,hn35h_0676,evidence,0.55,1
he35h_0094,hn35h_0693,counter,0.62,2
he35h_0094,hn35h_0710,residual,0.69,3
he35h_0094,hn35h_0727,mask,0.76,4
he35h_0094,hn35h_0744,ledger,0.83,5
he35h_0094,hn35h_0014,context,0.2,6
he35h_0095,hn35h_0666,driver,0.55,0
he35h_0095,hn35h_0683,evidence,0.62,1
he35h_0095,hn35h_0700,counter,0.69,2
he35h_0095,hn35h_0717,residual,0.76,3
he35h_0095,hn35h_0734,mask,0.83,4
he35h_0095,hn35h_0004,ledger,0.2,5
he35h_0095,hn35h_0021,context,0.27,6
he35h_0096,hn35h_0673,driver,0.62,0
he35h_0096,hn35h_0690,evidence,0.69,1
he35h_0096,hn35h_0707,counter,0.76,2
he35h_0096,hn35h_0724,residual,0.83,3
he35h_0096,hn35h_0741,mask,0.2,4
he35h_0096,hn35h_0011,ledger,0.27,5
he35h_0096,hn35h_0028,context,0.34,6
he35h_0097,hn35h_0680,driver,0.69,0
he35h_0097,hn35h_0697,evidence,0.76,1
he35h_0097,hn35h_0714,counter,0.83,2
he35h_0097,hn35h_0731,residual,0.2,3
he35h_0097,hn35h_0001,mask,0.27,4
he35h_0097,hn35h_0018,ledger,0.34,5
he35h_0097,hn35h_0035,context,0.41,6
he35h_0098,hn35h_0687,driver,0.76,0
he35h_0098,hn35h_0704,evidence,0.83,1
he35h_0098,hn35h_0721,counter,0.2,2
he35h_0098,hn35h_0738,residual,0.27,3
he35h_0098,hn35h_0008,mask,0.34,4
he35h_0098,hn35h_0025,ledger,0.41,5
he35h_0098,hn35h_0042,context,0.48,6
he35h_0099,hn35h_0694,driver,0.83,0
he35h_0099,hn35h_0711,evidence,0.2,1
he35h_0099,hn35h_0728,counter,0.27,2
he35h_0099,hn35h_0745,residual,0.34,3
he35h_0099,hn35h_0015,mask,0.41,4
he35h_0099,hn35h_0032,ledger,0.48,5
he35h_0099,hn35h_0049,context,0.55,6
he35h_0100,hn35h_0701,driver,0.2,0
he35h_0100,hn35h_0718,evidence,0.27,1
he35h_0100,hn35h_0735,counter,0.34,2
he35h_0100,hn35h_0005,residual,0.41,3
he35h_0100,hn35h_0022,mask,0.48,4
he35h_0100,hn35h_0039,ledger,0.55,5
he35h_0100,hn35h_0056,context,0.62,6
he35h_0101,hn35h_0708,driver,0.27,0
he35h_0101,hn35h_0725,evidence,0.34,1
he35h_0101,hn35h_0742,counter,0.41,2
he35h_0101,hn35h_0012,residual,0.48,3
he35h_0101,hn35h_0029,mask,0.55,4
he35h_0101,hn35h_0046,ledger,0.62,5
he35h_0101,hn35h_0063,context,0.69,6
he35h_0102,hn35h_0715,driver,0.34,0
he35h_0102,hn35h_0732,evidence,0.41,1
he35h_0102,hn35h_0002,counter,0.48,2
he35h_0102,hn35h_0019,residual,0.55,3
he35h_0102,hn35h_0036,mask,0.62,4
he35h_0102,hn35h_0053,ledger,0.69,5
he35h_0102,hn35h_0070,context,0.76,6
he35h_0103,hn35h_0722,driver,0.41,0
he35h_0103,hn35h_0739,evidence,0.48,1
he35h_0103,hn35h_0009,counter,0.55,2
he35h_0103,hn35h_0026,residual,0.62,3
he35h_0103,hn35h_0043,mask,0.69,4
he35h_0103,hn35h_0060,ledger,0.76,5
he35h_0103,hn35h_0077,context,0.83,6
he35h_0104,hn35h_0729,driver,0.48,0
he35h_0104,hn35h_0746,evidence,0.55,1
he35h_0104,hn35h_0016,counter,0.62,2
he35h_0104,hn35h_0033,residual,0.69,3
he35h_0104,hn35h_0050,mask,0.76,4
he35h_0104,hn35h_0067,ledger,0.83,5
he35h_0104,hn35h_0084,context,0.2,6
he35h_0105,hn35h_0736,driver,0.55,0
he35h_0105,hn35h_0006,evidence,0.62,1
he35h_0105,hn35h_0023,counter,0.69,2
he35h_0105,hn35h_0040,residual,0.76,3
he35h_0105,hn35h_0057,mask,0.83,4
he35h_0105,hn35h_0074,ledger,0.2,5
he35h_0105,hn35h_0091,context,0.27,6
he35h_0106,hn35h_0743,driver,0.62,0
he35h_0106,hn35h_0013,evidence,0.69,1
he35h_0106,hn35h_0030,counter,0.76,2
he35h_0106,hn35h_0047,residual,0.83,3
he35h_0106,hn35h_0064,mask,0.2,4
he35h_0106,hn35h_0081,ledger,0.27,5
he35h_0106,hn35h_0098,context,0.34,6
he35h_0107,hn35h_0003,driver,0.69,0
he35h_0107,hn35h_0020,evidence,0.76,1
he35h_0107,hn35h_0037,counter,0.83,2
he35h_0107,hn35h_0054,residual,0.2,3
he35h_0107,hn35h_0071,mask,0.27,4
he35h_0107,hn35h_0088,ledger,0.34,5
he35h_0107,hn35h_0105,context,0.41,6
he35h_0108,hn35h_0010,driver,0.76,0
he35h_0108,hn35h_0027,evidence,0.83,1
he35h_0108,hn35h_0044,counter,0.2,2
he35h_0108,hn35h_0061,residual,0.27,3
he35h_0108,hn35h_0078,mask,0.34,4
he35h_0108,hn35h_0095,ledger,0.41,5
he35h_0108,hn35h_0112,context,0.48,6
he35h_0109,hn35h_0017,driver,0.83,0
he35h_0109,hn35h_0034,evidence,0.2,1
he35h_0109,hn35h_0051,counter,0.27,2
he35h_0109,hn35h_0068,residual,0.34,3
he35h_0109,hn35h_0085,mask,0.41,4
he35h_0109,hn35h_0102,ledger,0.48,5
he35h_0109,hn35h_0119,context,0.55,6
he35h_0110,hn35h_0024,driver,0.2,0
he35h_0110,hn35h_0041,evidence,0.27,1
he35h_0110,hn35h_0058,counter,0.34,2
he35h_0110,hn35h_0075,residual,0.41,3
he35h_0110,hn35h_0092,mask,0.48,4
he35h_0110,hn35h_0109,ledger,0.55,5
he35h_0110,hn35h_0126,context,0.62,6
he35h_0111,hn35h_0031,driver,0.27,0
he35h_0111,hn35h_0048,evidence,0.34,1
he35h_0111,hn35h_0065,counter,0.41,2
he35h_0111,hn35h_0082,residual,0.48,3
he35h_0111,hn35h_0099,mask,0.55,4
he35h_0111,hn35h_0116,ledger,0.62,5
he35h_0111,hn35h_0133,context,0.69,6
he35h_0112,hn35h_0038,driver,0.34,0
he35h_0112,hn35h_0055,evidence,0.41,1
he35h_0112,hn35h_0072,counter,0.48,2
he35h_0112,hn35h_0089,residual,0.55,3
he35h_0112,hn35h_0106,mask,0.62,4
he35h_0112,hn35h_0123,ledger,0.69,5
he35h_0112,hn35h_0140,context,0.76,6
he35h_0113,hn35h_0045,driver,0.41,0
he35h_0113,hn35h_0062,evidence,0.48,1
he35h_0113,hn35h_0079,counter,0.55,2
he35h_0113,hn35h_0096,residual,0.62,3
he35h_0113,hn35h_0113,mask,0.69,4
he35h_0113,hn35h_0130,ledger,0.76,5
he35h_0113,hn35h_0147,context,0.83,6
he35h_0114,hn35h_0052,driver,0.48,0
he35h_0114,hn35h_0069,evidence,0.55,1
he35h_0114,hn35h_0086,counter,0.62,2
he35h_0114,hn35h_0103,residual,0.69,3
he35h_0114,hn35h_0120,mask,0.76,4
he35h_0114,hn35h_0137,ledger,0.83,5
he35h_0114,hn35h_0154,context,0.2,6
he35h_0115,hn35h_0059,driver,0.55,0
he35h_0115,hn35h_0076,evidence,0.62,1
he35h_0115,hn35h_0093,counter,0.69,2
he35h_0115,hn35h_0110,residual,0.76,3
he35h_0115,hn35h_0127,mask,0.83,4
he35h_0115,hn35h_0144,ledger,0.2,5
he35h_0115,hn35h_0161,context,0.27,6
he35h_0116,hn35h_0066,driver,0.62,0
he35h_0116,hn35h_0083,evidence,0.69,1
he35h_0116,hn35h_0100,counter,0.76,2
he35h_0116,hn35h_0117,residual,0.83,3
he35h_0116,hn35h_0134,mask,0.2,4
he35h_0116,hn35h_0151,ledger,0.27,5
he35h_0116,hn35h_0168,context,0.34,6
he35h_0117,hn35h_0073,driver,0.69,0
he35h_0117,hn35h_0090,evidence,0.76,1
he35h_0117,hn35h_0107,counter,0.83,2
he35h_0117,hn35h_0124,residual,0.2,3
he35h_0117,hn35h_0141,mask,0.27,4
he35h_0117,hn35h_0158,ledger,0.34,5
he35h_0117,hn35h_0175,context,0.41,6
he35h_0118,hn35h_0080,driver,0.76,0
he35h_0118,hn35h_0097,evidence,0.83,1
he35h_0118,hn35h_0114,counter,0.2,2
he35h_0118,hn35h_0131,residual,0.27,3
he35h_0118,hn35h_0148,mask,0.34,4
he35h_0118,hn35h_0165,ledger,0.41,5
he35h_0118,hn35h_0182,context,0.48,6
he35h_0119,hn35h_0087,driver,0.83,0
he35h_0119,hn35h_0104,evidence,0.2,1
he35h_0119,hn35h_0121,counter,0.27,2
he35h_0119,hn35h_0138,residual,0.34,3
he35h_0119,hn35h_0155,mask,0.41,4
he35h_0119,hn35h_0172,ledger,0.48,5
he35h_0119,hn35h_0189,context,0.55,6
he35h_0120,hn35h_0094,driver,0.2,0
he35h_0120,hn35h_0111,evidence,0.27,1
he35h_0120,hn35h_0128,counter,0.34,2
he35h_0120,hn35h_0145,residual,0.41,3
he35h_0120,hn35h_0162,mask,0.48,4
he35h_0120,hn35h_0179,ledger,0.55,5
he35h_0120,hn35h_0196,context,0.62,6
